host_wolb,host,wolbachia,temp,sample,region,CTFC
JP03_wne10,JP03,wne10,26,3,pole,6418.910027
JP03_wne10,JP03,wne10,26,4,whole,14788.74594
JP03_wne10,JP03,wne10,26,4,posterior,5967.706175
JP03_wne10,JP03,wne10,26,4,pole,2996.85395
JP03_wne10,JP03,wne10,26,5,whole,20055.22904
JP03_wne10,JP03,wne10,26,5,posterior,6309.853748
JP03_wne10,JP03,wne10,26,5,pole,1697.447083
NE10_wjp03,NE10,wjp03,18,1,whole,4982.732108
NE10_wjp03,NE10,wjp03,18,1,posterior,2013.348459
NE10_wjp03,NE10,wjp03,18,1,pole,905.212317
NE10_wjp03,NE10,wjp03,18,2,whole,10631.82828
NE10_wjp03,NE10,wjp03,18,2,posterior,3039.704102
NE10_wjp03,NE10,wjp03,18,2,pole,1305.324911
NE10_wjp03,NE10,wjp03,18,3,whole,9852.523452
NE10_wjp03,NE10,wjp03,18,3,posterior,1806.555912
NE10_wjp03,NE10,wjp03,18,3,pole,976.8018245
NE10_wjp03,NE10,wjp03,18,4,whole,11879.28769
NE10_wjp03,NE10,wjp03,18,4,posterior,3767.820458
NE10_wjp03,NE10,wjp03,18,4,pole,2438.05532
NE10_wjp03,NE10,wjp03,18,5,whole,5964.268172
NE10_wjp03,NE10,wjp03,18,5,posterior,1172.548465
NE10_wjp03,NE10,wjp03,18,5,pole,493.084449
NE10_wjp03,NE10,wjp03,18,6,whole,5909.557398
NE10_wjp03,NE10,wjp03,18,6,posterior,1676.641776
NE10_wjp03,NE10,wjp03,18,6,pole,783.153864
NE10_wjp03,NE10,wjp03,26,1,whole,27584.67421
NE10_wjp03,NE10,wjp03,26,1,posterior,6930.789882
NE10_wjp03,NE10,wjp03,26,1,pole,3706.423678
NE10_wjp03,NE10,wjp03,26,2,whole,24342.36834
NE10_wjp03,NE10,wjp03,26,2,posterior,4825.662799
NE10_wjp03,NE10,wjp03,26,2,pole,1897.948834
NE10_wjp03,NE10,wjp03,26,3,whole,34693.69597
NE10_wjp03,NE10,wjp03,26,3,posterior,4279.024065
NE10_wjp03,NE10,wjp03,26,3,pole,1362.582427
NE10_wjp03,NE10,wjp03,26,4,whole,6880.816731
NE10_wjp03,NE10,wjp03,26,4,posterior,1172.629388
NE10_wjp03,NE10,wjp03,26,4,pole,364.9092425
NE10_wjp03,NE10,wjp03,26,5,whole,15102.03654
NE10_wjp03,NE10,wjp03,26,5,posterior,4042.100468
NE10_wjp03,NE10,wjp03,26,5,pole,2149.532379
