"","batch","temp_des","linha","clength","pop"
"730","b3","18","PE 19",0.25,"PE"
"731","b3","18","PE 19",0.26,"PE"
"732","b3","18","RJ 31",0.31,"RJ"
"733","b3","18","RJ 31",0.34,"RJ"
"734","b3","18","RJ 32",0.33,"RJ"
"735","b3","18","RJ 32",0.33,"RJ"
"736","b3","18","RJ 32",0.35,"RJ"
"737","b3","18","RJ 42",0.36,"RJ"
"738","b3","18","RJ 42",0.31,"RJ"
"739","b3","18","RJ 42",0.3,"RJ"
"740","b3","18","JP 10",0.34,"JP"
"741","b3","18","JP 10",0.33,"JP"
"742","b3","18","JP 10",0.36,"JP"
"743","b3","18","JP 42",0.35,"JP"
"744","b3","18","JP 42",0.32,"JP"
"745","b3","18","NE 47",0.33,"NE"
"746","b3","18","NE 47",0.36,"NE"
"747","b3","18","PE 22",0.32,"PE"
"748","b3","18","PE 22",0.32,"PE"
"749","b3","18","PE 22",0.32,"PE"
"750","b3","18","RJ 35",0.31,"RJ"
"751","b3","18","RJ 35",0.32,"RJ"
"752","b3","18","RJ 40",0.35,"RJ"
"753","b3","18","RJ 40",0.35,"RJ"
"754","b3","18","RJ 40",0.36,"RJ"
"755","b3","18","RJ 38",0.32,"RJ"
"756","b3","18","RJ 38",0.33,"RJ"
"757","b3","18","RJ 38",0.32,"RJ"
